tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.056000000000000001,-1061,-1178,-7870,-9755,13184,-3219,9056,40020
0.056500000000000002,-18744,-13549,21386,18521,14139,10549,25396,44561
0.057000000000000002,-12635,-5248,46391,36161,25635,15849,34216,64401
0.057500000000000002,10332,12826,50936,45505,37158,11988,26234,49718
0.058000000000000003,27601,28061,53233,49748,40874,14194,23616,28400
0.058500000000000003,30808,33898,54588,45683,43752,27407,14978,21944
0.058999999999999997,27437,31806,49005,39633,36701,33771,12206,13669
0.059499999999999997,26318,23837,37874,30486,12054,30512,11925,4956
0.059999999999999998,14978,20546,31138,23001,10608,22016,9879,-1736
0.060499999999999998,3954,14056,16843,13068,10039,10977,1000,-6479
0.060999999999999999,-874,7793,5843,1836,8552,5330,-4700,-9017
0.061499999999999999,-4819,7170,4875,-130,9588,5294,-10011,-36262
0.062,-3504,7398,2744,945,10995,3355,-11239,-45819
0.0625,896,11576,2616,1614,12446,-1011,-18489,-48585
0.063,2476,8526,-3099,-5006,10301,-5956,-27516,-52688
0.063500000000000001,-1952,-3634,-9399,-11672,3006,-8966,-34684,-50731
0.064000000000000001,-7465,-12648,-17607,-21765,-6249,-15129,-36334,-61047
0.064500000000000002,-21614,-13069,-34356,-30854,-15204,-22459,-37493,-69072
0.065000000000000002,-29916,-12256,-38862,-24995,-10441,-18866,-30589,-52617
0.065500000000000003,-27954,-6792,-20781,-14331,-1635,-14051,-24916,-24784
0.066000000000000003,-10064,1128,-4721,-11182,1521,-11894,-25866,-24289
0.066500000000000004,-11729,6907,-5456,-11592,2591,-14714,-27005,-6697
0.067000000000000004,-13671,3818,-18910,-14342,-4441,-28932,-36354,-8241
0.067500000000000004,-9653,3086,-49867,-25324,-7701,-70418,-49257,-20617
0.068000000000000005,-9689,3327,-80889,-36989,-10436,-96735,-54331,-25624
0.068500000000000005,-24643,-1620,-92402,-37141,-7544,-64654,-38319,-16964
0.069000000000000006,-31214,-3435,-60687,-25284,-3426,-4149,-13872,7228
0.069500000000000006,-13341,-610,28245,9912,5596,50798,3323,33773
0.070000000000000007,14711,3638,93888,36762,7574,58370,10729,52793
0.070499999999999993,29253,7226,102918,35925,9259,36609,794,48688
0.070999999999999994,36634,16287,109831,31584,22893,44417,-1083,41141
0.071499999999999994,37337,28954,103358,30278,32785,66878,3296,31980
0.071999999999999995,23148,21369,73729,23134,28441,63066,10424,39234
0.072499999999999995,13573,22732,47134,18538,32664,50064,22179,49401
0.072999999999999995,17476,38832,40954,27468,47404,49691,37804,40865
0.073499999999999996,25760,43757,43590,34858,50038,49193,43442,29783
0.073999999999999996,25977,37571,42494,35940,52660,45208,53471,51479
0.074499999999999997,24338,36788,34934,34747,48990,40015,49690,62684
0.074999999999999997,22630,37827,25354,28990,42284,29788,39544,67040
0.075499999999999998,17844,30022,17003,19169,32711,19494,25978,61611
0.075999999999999998,10852,22782,13658,12352,24524,9900,23648,53580
0.076499999999999999,8348,18286,11795,8174,17477,-2476,21084,32147
0.076999999999999999,7580,12869,9357,2180,11775,-6661,16854,41271
0.077499999999999999,4976,6708,4494,3149,11036,479,17274,40414
0.078,8975,6031,1869,4803,10216,9889,10448,32666
0.0785,11560,7030,5346,9393,6941,11413,1094,15860
0.079000000000000001,358,6659,7543,7593,6373,6995,-9676,11754
0.079500000000000001,-8675,4332,-2987,1158,2761,971,-12563,2152
0.080000000000000002,967,7869,-33482,-11441,-2326,-16296,-15334,-9199
0.080500000000000002,8935,15934,-92255,-38424,-10497,-63781,-43305,-22106
0.081000000000000003,8253,12151,-155161,-67302,-13947,-94121,-65824,-38434
0.081500000000000003,-21794,-4381,-141555,-74249,-18204,-72172,-58576,-26925
0.082000000000000003,-67024,-33703,-97817,-59616,-16962,-44416,-40867,-14784
0.082500000000000004,-51126,-33180,-93390,-39747,-13996,-63879,-39452,-18791
0.083000000000000004,-17352,-4482,-65722,-31999,-16262,-69743,-40076,-21634
0.083500000000000005,-11134,11476,25511,-8932,-6514,-11228,-25594,-16252
0.084000000000000005,-11262,11522,138778,49392,10745,85074,12398,-5947
0.084500000000000006,11944,14024,199913,101166,18868,134152,56347,49847
0.085000000000000006,40623,26484,186823,105524,33454,110211,48586,63943
0.085500000000000007,61856,39089,166968,93323,32919,86204,29983,21146
0.085999999999999993,52810,38078,137292,83303,32346,86891,26788,25668
0.086499999999999994,31179,29426,80531,55676,29572,71436,22033,19751
0.086999999999999994,10996,22865,34774,30635,26489,45474,10481,28983
0.087499999999999994,-1196,15455,6144,16580,13818,22956,1798,32568
0.087999999999999995,-297,8265,7396,10143,1333,11269,739,15941
0.088499999999999995,3546,3419,4874,394,144,1543,-3675,8474
0.088999999999999996,359,4483,-9199,-13167,-6105,-376,-15801,-3665
0.089499999999999996,9,9139,-19979,-30768,-10344,-1062,-22014,-21059
0.089999999999999997,-2448,7940,-15577,-41800,-13659,-6801,-34097,-24565
0.090499999999999997,-8304,2939,-1449,-26687,-4171,661,-20223,-11077
0.090999999999999998,-17716,-9819,10249,15029,15228,1131,17584,14445
0.091499999999999998,-12397,-5690,15603,36664,30251,-6412,27256,30546
0.091999999999999998,6177,8944,11907,28588,32266,-6515,15427,32421
0.092499999999999999,18069,21106,5014,14666,29705,-1346,473,36198
0.092999999999999999,17993,20638,11536,1381,27416,-1506,-1136,22843
0.0935,-12814,-2698,22309,6802,18553,-1611,6562,8402
0.094,-13896,-8257,18231,13559,22450,-8985,9362,2841
0.094500000000000001,-4507,1148,17338,17558,27726,-6586,15305,26210
0.095000000000000001,3639,9815,21646,17961,29565,691,8824,39866
0.095500000000000002,11117,15471,23597,22659,35401,7183,9214,17908
0.096000000000000002,17524,16773,19272,23202,35007,7013,9413,-113
0.096500000000000002,21194,14559,14546,15834,32268,888,2947,-10837
0.097000000000000003,16085,9170,7641,10808,19325,-747,356,-5871
0.097500000000000003,8814,7458,4174,4105,13239,959,-3481,206
0.098000000000000004,6338,5536,-617,1084,8603,-3886,-5173,7108
0.098500000000000004,3763,8101,-62,-779,9617,-4387,-1251,16064
0.099000000000000005,1906,10954,-2465,-62,13328,-985,2273,15703
0.099500000000000005,2724,12523,-4124,-284,18694,-1011,-682,5446
0.10000000000000001,1498,17007,-3927,-2029,17307,-5076,-12256,-8838
