tiempo,paquete_id,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
4.454,990322,-1803.8032293479546,2969.5354361588975,-1741.4929669647381,-2405.1732209902675,2804.1354876730106,-2748.104214152013,2143.850716410737,781.0519912123291
4.4545,990323,1186.3634016264095,3899.4957966353923,-5154.8707291179435,-565.2041548272261,2629.714339482276,-2335.6797984328286,-862.2210335729241,1202.4021782068435
4.455,990324,2827.7880787735558,4507.379505249958,-8317.309855790802,-271.3228384548538,1262.8586435258421,-1032.2547718652172,1166.916781447674,-144.05554288615986
4.4555,990325,4824.261324907994,4947.854258950739,-6639.946019215645,-178.9132719634881,-272.56093485416295,-1100.164358921188,4980.348316884604,-6560.8793157888595
4.456,990326,7536.366664253043,4605.7367968322005,-82.38120546311757,1092.7301037263028,-1347.802172118494,-2167.4104643769338,4953.553838489269,-14590.793561342267
4.4565,990327,9231.58424558883,2506.3827670444207,7929.1354003156775,2260.568166267611,-1859.0521708900064,-1560.381443769128,-237.74825714375487,-18270.48870741365
4.457,990328,8548.471676297047,-1630.3600031118474,14536.162738032785,832.5395398713301,-1645.5091194956756,1350.2192406655536,-5806.691321179829,-16184.83275107936
4.4575,990329,6021.051492769968,-6330.995976499387,19424.172288128022,-2993.648672397756,-645.970963347456,3296.1185401962525,-6720.250188042537,-12050.476520807104
4.458,990330,2513.651710261977,-9241.077766404116,23078.791525018733,-5368.92094271805,567.7145040108085,1498.0132354580574,-3465.539228408866,-9582.633037218537
4.4585,990331,-1854.74104147064,-9515.867331328976,24452.65340447536,-2672.262648705429,993.4242623540017,-2118.3732209392274,-364.25178204023405,-8920.581642344852
4.459,990332,-5698.869933450566,-7932.24149948431,21179.3970048146,3884.960658616572,63.304657537099956,-4042.46810085994,123.46280586718194,-7577.545593040636
4.4595,990333,-5650.959330548125,-4643.977050453685,12167.307106866176,8604.576542929355,-1939.2939159167088,-4614.939065996999,-776.5120039287276,-3146.202282951288
4.46,990334,-623.2442579090189,534.6113692272338,120.73531988732384,7083.554963910727,-4338.317779402274,-6357.753670031871,-1126.7378465313598,4707.151900849239
4.4605,990335,4828.220749624103,5348.418205986655,-9099.926226524985,1116.3351655983442,-6408.697305901668,-8114.942070902885,-877.4619929508735,13208.053475071309
